Publishing_Year,Author_Rating_Num,Average_Rating,Rating_Count,Gross_Sales_EUR,Publisher_Revenue_EUR,Adapted_to_Film,Genre_Adventure,Genre_Biography,Genre_Children’s,Genre_Classic,Genre_Dystopian,Genre_Fantasy,Genre_Fiction,Genre_Graphic Novel,Genre_Historical Fiction,Genre_Horror,Genre_Memoir,Genre_Mystery,Genre_Nonfiction,Genre_Philosophy,Genre_Politics,Genre_Romance,Genre_Satire,Genre_Science Fiction,Genre_Thriller,Genre_Young Adult
1960,2,4.12,117582,706.45,423.87,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1960,4,4.15,64391,334880.0,200928.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1961,4,4.08,66360,1160.85,696.51,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1961,2,3.89,56550,735640.0,441384.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1961,2,4.22,178432,4509.34,0.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1962,4,4.13,81914,1170.0,702.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1962,2,3.94,121000,646920.0,388152.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1962,2,3.66,84180,2280460.0,1368276.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1963,4,4.15,72329,878.9,527.34,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1964,4,4.04,69992,813370.0,488022.0,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1965,2,4.29,124805,2025940.0,1215564.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1966,4,4.06,67077,1334540.0,800724.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1966,4,4.17,80366,930490.0,558294.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1967,2,4.19,125668,2375240.0,1425144.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1967,2,4.15,134537,1085370.0,651222.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1967,2,3.96,78766,588.82,0.0,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1967,4,4.03,70701,218.9,131.34,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1968,2,3.99,155042,4707.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1968,2,3.92,54848,319.93,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1968,4,4.1,95378,133.65,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
