Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Gross_Sales,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold
Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,,,Genre,,,,,Publisher,
2014,Cress,Marissa Meyer,eng,Famous,4.46,162069.0,nonfiction,1154.14,692.484,2.99,268.0,Macmillan,386.0
2010,Just Kids,Patti Smith,en-US,Intermediate,4.14,106542.0,genre fiction,766.15,459.69,1.99,269.0,Random House LLC,385.0
1997,,Phaidon Press,eng,Intermediate,3.79,102746.0,genre fiction,3060.17,1836.102,7.99,270.0,Penguin Group (USA) LLC,383.0
1996,A Fine Balance,Rohinton Mistry,eng,Intermediate,4.34,99252.0,genre fiction,1136.2,681.72,2.99,272.0,Simon and Schuster Digital Sales Inc,380.0
1989,Clear and Present Danger,Tom Clancy,eng,Intermediate,4.08,105317.0,genre fiction,1115.27,669.162,2.99,276.0,Hachette Book Group,373.0
2010,Sh*t My Dad Says,Justin Halpern,,Intermediate,3.98,102560.0,nonfiction,2775.0,1665.0,7.5,278.0,Hachette Book Group,370.0
2010,House Rules,Jodi Picoult,en-US,Intermediate,4.01,111239.0,nonfiction,4084.35,2450.61,11.19,281.0,HarperCollins Publishers,365.0
1998,About a Boy,Nick Hornby,en-US,Intermediate,3.79,101999.0,genre fiction,1079.39,647.634,2.99,283.0,Penguin Group (USA) LLC,361.0
2012,On Dublin Street,Samantha Young,eng,Intermediate,4.24,136761.0,nonfiction,3905.78,2343.468,10.91,285.0,Random House LLC,358.0
2013,The Circle,Dave Eggers,eng,Novice,3.46,109412.0,genre fiction,3872.6,2323.56,11.39,296.0,Penguin Group (USA) LLC,340.0
2003,桜蘭高校ホスト部 1,Bisco Hatori,eng,Excellent,4.36,113881.0,genre fiction,666.65,399.99,1.99,299.0,HarperCollins Publishers,335.0
2014,The Good Girl,Mary Kubica,eng,Intermediate,3.81,100936.0,genre fiction,2620.72,1572.432,7.99,303.0,Random House LLC,328.0
2005,No Country for Old Men,Cormac McCarthy,eng,Excellent,4.12,100513.0,genre fiction,1611.77,967.062,4.99,306.0,Simon and Schuster Digital Sales Inc,323.0
2009,Wolf Hall,Hilary Mantel,eng,Intermediate,3.85,102936.0,genre fiction,2468.49,1481.094,7.69,307.0,Penguin Group (USA) LLC,321.0
1989,The Remains of the Day,Kazuo Ishiguro,eng,Excellent,4.1,105892.0,nonfiction,1874.87,1124.922,5.99,312.0,Random House LLC,313.0
2009,Shanghai Girls,Lisa See,eng,Intermediate,3.87,106729.0,nonfiction,2152.92,1291.752,6.99,315.0,Penguin Group (USA) LLC,308.0
1995,Naked in Death,J.D. Robb,en-US,Excellent,4.13,78028.0,genre fiction,1772.95,1063.77,6.01,323.0,HarperCollins Publishers,295.0
2012,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,eng,Intermediate,3.89,94012.0,genre fiction,3694.6,2216.76,12.74,326.0,Hachette Book Group,290.0
1991,Xenocide,Orson Scott Card,eng,Intermediate,3.77,104467.0,genre fiction,1707.15,1024.29,5.99,329.0,Simon and Schuster Digital Sales Inc,285.0
1975,Shōgun,James Clavell,eng,Excellent,4.37,104339.0,genre fiction,2071.56,1242.936,7.32,330.0,Hachette Book Group,283.0
2009,Smile,Raina Telgemeier,eng,Excellent,4.19,98628.0,genre fiction,2618.07,1570.842,9.59,336.0,HarperCollins Publishers,273.0
2012,Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,eng,Intermediate,3.75,110552.0,genre fiction,1719.85,1031.91,6.49,341.0,Hachette Book Group,265.0
1999,Invisible Monsters,Chuck Palahniuk,eng,Intermediate,4.0,54937.0,genre fiction,771.42,462.852,2.99,345.0,Simon and Schuster Digital Sales Inc,258.0
2008,The Way of Shadows,Brent Weeks,en-US,Excellent,4.15,109236.0,genre fiction,744.51,446.706,2.99,351.0,Random House LLC,249.0
2014,Words of Radiance,Brandon Sanderson,eng,Famous,4.77,73572.0,genre fiction,741.52,444.912,2.99,354.0,HarperCollins Publishers,248.0
2001,The Fiery Cross,Diana Gabaldon,eng,Excellent,4.26,103552.0,genre fiction,1141.14,684.684,4.62,356.0,Penguin Group (USA) LLC,247.0
1974,Jaws,Peter Benchley,eng,Intermediate,3.96,102574.0,genre fiction,1227.54,736.524,4.99,357.0,Simon and Schuster Digital Sales Inc,246.0
2012,Brain on Fire,Susannah Cahalan,eng,Intermediate,4.0,92849.0,genre fiction,2566.65,1539.99,10.65,368.0,Hachette Book Group,241.0
2007,Wicked Lovely ,Melissa Marr,en-US,Intermediate,3.69,131034.0,genre fiction,1197.6,718.56,4.99,370.0,Simon and Schuster Digital Sales Inc,240.0
1998,A Beautiful Mind,Sylvia Nasar,en-GB,Excellent,4.12,98276.0,genre fiction,1544.62,926.772,6.49,373.0,Random House LLC,238.0
1985,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,en-US,Excellent,4.04,102419.0,nonfiction,1182.63,709.578,4.99,376.0,Random House LLC,237.0
2000,The Blind Assassin,Margaret Atwood,eng,Intermediate,3.95,98464.0,nonfiction,1885.64,1131.384,7.99,378.0,HarperCollins Christian Publishing,236.0
2014,Hollow City,Ransom Riggs,eng,Excellent,4.07,73149.0,genre fiction,1642.65,985.59,6.99,380.0,Penguin Group (USA) LLC,235.0
2014,The Girl with All the Gifts,M.R. Carey,eng,Intermediate,3.93,99729.0,genre fiction,463.67,278.202,1.99,383.0,Simon and Schuster Digital Sales Inc,233.0
1930,As I Lay Dying,William Faulkner,eng,Intermediate,3.72,103547.0,nonfiction,461.68,277.008,1.99,385.0,HarperCollins Publishers,6264.0
1953,,Isaac Asimov,eng,Excellent,4.23,96865.0,nonfiction,690.69,414.414,2.99,388.0,HarperCollins Publishers,6237.0
2001,Fool Moon ,Jim Butcher,eng,Excellent,4.04,111371.0,genre fiction,687.7,412.62,2.99,389.0,Macmillan,6210.0
2011,David and Goliath,Malcolm Gladwell,eng,Intermediate,3.9,90083.0,nonfiction,2509.3,1505.58,10.91,389.0,Random House LLC,6210.0
